NU_INSCRICAO;NU_ANO;TP_SEXO;SG_UF_ESC;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025
2,10061E+11;2023;M;GO;B;B;B;B;4;D;A;B;C;A;A;B;B;B;A;B;A;A;B;A;A;E;A;B;B
2,1006E+11;2023;F;GO;D;H;C;F;2;B;A;B;C;B;A;B;B;A;A;A;A;A;C;A;A;C;A;A;B
2,1006E+11;2023;M;GO;H;B;B;D;5;B;A;C;D;B;A;B;B;B;A;B;A;A;B;A;A;A;A;B;B
2,1006E+11;2023;F;GO;G;G;D;E;2;L;B;C;D;B;A;B;B;B;A;B;A;B;D;A;A;C;A;C;B
2,1006E+11;2023;M;GO;G;F;E;D;5;G;A;D;E;C;A;B;B;B;A;B;B;B;C;A;A;E;B;E;B
2,1006E+11;2023;M;GO;C;C;D;B;4;K;A;D;D;B;A;C;A;B;A;B;A;A;C;A;A;D;A;A;B
2,10059E+11;2023;M;GO;C;C;C;B;4;B;A;B;C;A;B;B;B;A;A;A;A;A;B;A;A;B;A;A;A
2,10058E+11;2023;M;GO;C;E;A;B;5;C;A;B;C;A;B;B;A;A;A;A;A;A;B;A;A;B;A;A;A
2,1006E+11;2023;F;GO;B;C;F;B;5;E;A;B;B;A;B;B;B;A;A;B;A;A;B;A;B;B;A;A;B
2,10058E+11;2023;F;GO;E;E;A;C;3;B;A;B;D;C;A;B;B;B;A;B;A;A;B;A;A;D;B;B;B
2,10061E+11;2023;F;GO;E;E;B;B;2;D;A;B;D;B;A;B;A;B;A;A;A;A;B;A;A;C;A;A;B
2,10059E+11;2023;F;GO;F;E;B;F;4;E;A;C;C;A;B;B;B;B;A;A;A;A;B;A;A;C;A;B;B
2,10059E+11;2023;M;GO;F;E;D;B;6;D;A;C;D;B;A;B;B;B;A;B;A;A;D;A;A;E;A;C;B
2,1006E+11;2023;F;GO;C;C;C;B;5;C;A;C;D;A;A;B;A;B;A;A;A;A;B;B;A;D;A;A;B
2,10059E+11;2023;F;GO;E;E;B;B;3;B;A;B;D;A;B;B;A;B;A;A;A;A;B;A;A;C;A;A;B
2,10061E+11;2023;F;GO;H;H;C;F;4;E;A;C;D;A;B;B;A;B;A;B;A;A;B;A;A;B;A;A;B
2,1006E+11;2023;F;GO;F;E;B;D;4;G;A;B;C;B;A;B;A;B;A;A;A;B;B;A;A;E;A;B;B
2,10059E+11;2023;M;GO;E;E;D;C;4;F;A;B;C;A;B;B;A;B;A;A;A;A;C;A;A;D;A;A;B
2,1006E+11;2023;F;GO;H;H;F;F;3;B;A;B;C;B;A;B;B;B;B;B;A;A;B;A;A;D;A;A;B
2,10061E+11;2023;M;GO;H;H;C;C;4;B;A;B;D;A;A;B;B;B;B;A;A;A;A;A;A;D;A;A;B
2,10058E+11;2023;M;GO;D;E;C;B;3;B;A;B;C;A;A;B;B;A;A;A;A;A;B;A;A;B;A;A;B
2,10058E+11;2023;M;GO;B;C;A;B;4;H;A;B;D;C;A;B;B;B;B;B;A;A;B;A;A;E;A;B;B
2,10058E+11;2023;F;GO;H;D;B;B;3;B;A;C;D;A;A;B;A;C;A;A;A;A;B;A;B;E;A;A;B
2,10061E+11;2023;M;GO;B;F;A;D;6;D;A;B;D;B;B;B;A;A;A;B;A;A;B;A;A;E;A;B;B
2,1006E+11;2023;F;GO;C;E;C;B;2;B;A;B;C;A;A;B;A;B;A;A;A;A;B;A;B;C;A;B;B
2,10058E+11;2023;F;GO;D;D;C;B;3;B;A;B;C;A;A;B;B;A;A;A;A;A;B;A;A;B;A;A;A
2,1006E+11;2023;F;GO;B;B;B;B;4;B;A;B;C;B;A;B;A;A;A;B;A;A;B;A;A;B;A;A;B
2,1006E+11;2023;F;GO;B;E;B;B;5;B;A;B;D;A;A;B;A;B;A;B;A;A;B;A;A;E;A;A;B
2,10059E+11;2023;F;GO;D;E;C;B;5;D;A;C;C;A;B;B;A;B;A;A;A;A;B;A;A;D;A;A;B
2,1006E+11;2023;F;GO;E;H;B;B;2;B;A;B;B;A;A;B;B;A;A;A;A;A;B;A;A;B;A;A;B
2,1006E+11;2023;M;GO;H;D;C;B;4;C;A;B;B;A;B;B;A;A;A;A;A;A;B;A;A;B;A;A;A
2,1006E+11;2023;F;GO;B;C;A;B;3;B;A;B;C;A;A;B;A;B;A;A;A;A;B;A;A;D;A;A;B
2,10058E+11;2023;M;GO;E;B;B;B;4;A;A;B;B;A;A;B;A;A;A;A;A;A;A;B;A;A;A;A;B
2,10058E+11;2023;F;GO;B;C;A;A;2;B;A;B;B;A;A;B;B;A;A;A;A;A;A;A;A;B;A;A;A
2,1006E+11;2023;M;GO;D;E;C;B;6;C;A;C;E;A;B;B;B;B;A;A;A;B;E;A;A;E;A;A;B
2,10061E+11;2023;M;GO;H;H;A;B;3;B;A;B;C;B;A;B;B;B;A;B;A;A;B;B;A;A;B;B;B
2,10059E+11;2023;F;GO;E;E;C;B;5;C;A;B;C;B;A;B;A;B;A;B;A;A;B;A;A;E;A;A;B
2,1006E+11;2023;F;GO;E;E;D;D;5;G;A;C;D;C;A;B;B;B;A;B;A;A;B;A;A;E;A;B;B
2,1006E+11;2023;F;GO;D;D;F;F;5;B;A;B;C;A;A;B;A;B;A;A;A;A;B;A;A;C;A;A;B
2,10059E+11;2023;M;GO;E;E;B;B;1;B;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;B;A;B;B
2,1006E+11;2023;F;GO;B;D;C;F;5;B;A;B;C;A;A;B;A;B;A;B;A;A;B;A;B;C;A;A;B
2,1006E+11;2023;M;GO;B;E;A;F;4;E;A;B;E;A;B;B;B;A;A;A;A;A;B;B;A;D;A;B;B
2,10059E+11;2023;F;GO;H;E;E;D;2;F;A;C;D;B;A;B;B;B;B;B;A;B;C;A;A;D;B;B;B
2,1006E+11;2023;F;GO;H;D;F;B;4;C;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;B
2,1006E+11;2023;F;GO;B;B;A;A;4;B;A;C;D;C;B;C;B;B;B;A;A;A;B;B;A;B;A;A;B
2,10059E+11;2023;F;GO;F;C;C;C;4;D;A;B;C;A;A;B;B;A;A;A;A;A;B;A;A;D;A;A;B
2,1006E+11;2023;M;GO;E;H;F;F;4;C;A;B;C;A;A;B;A;B;A;B;B;A;B;A;A;E;A;B;B
2,10061E+11;2023;M;GO;H;E;D;B;5;G;A;C;D;B;A;B;C;B;A;B;A;A;E;B;B;E;B;B;B
2,1006E+11;2023;M;GO;E;G;B;B;3;G;A;D;D;C;A;C;C;B;A;A;A;B;C;B;A;D;A;C;B
2,10059E+11;2023;F;GO;F;F;D;D;5;I;A;C;C;C;A;B;A;B;A;B;A;B;C;B;B;D;A;B;B
2,10059E+11;2023;F;GO;E;G;D;D;3;H;A;C;D;B;A;B;B;B;A;B;A;A;D;B;A;D;A;A;B
2,10058E+11;2023;F;GO;E;E;C;B;5;B;A;B;C;B;A;B;A;A;A;A;A;A;B;A;A;D;A;A;B
2,10061E+11;2023;F;GO;H;H;B;B;3;D;A;C;D;B;A;B;C;B;A;B;A;A;C;A;B;D;A;B;B
2,10058E+11;2023;F;GO;D;D;A;B;4;E;A;B;C;B;B;B;A;B;A;A;A;A;B;A;B;C;A;A;B
2,1006E+11;2023;M;GO;D;E;F;B;3;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;B;B
2,1006E+11;2023;M;GO;D;B;F;F;8;E;A;B;C;B;A;B;B;B;B;B;A;A;B;A;A;E;A;B;B
2,1006E+11;2023;F;GO;D;D;C;C;3;D;A;B;C;B;A;B;A;A;A;B;A;A;B;A;A;D;A;A;B
2,10058E+11;2023;F;GO;E;F;C;B;4;E;A;C;D;B;A;B;A;B;A;B;A;A;B;A;A;D;B;B;B
2,10058E+11;2023;F;GO;B;B;B;B;7;A;A;B;B;A;A;B;A;A;A;A;A;A;A;A;A;C;A;A;B
2,10061E+11;2023;F;GO;C;E;C;D;4;I;A;D;D;B;A;B;A;B;A;A;A;A;B;A;A;E;A;B;B
2,1006E+11;2023;F;GO;F;E;C;F;4;B;A;C;D;B;A;B;B;B;A;B;A;A;B;A;A;E;A;B;B
